Type d’enregistrement (E,A);Code journal;N° écriture;N° pièce;Date pièce;Libellé;Date échéance;Code nature;Racine compte collectif;Montant en euros;Code débit/crédit (C,D);Compte général;Date (date facture ?);Code lettrage;Date lettrage;Compte auxiliaire;Code nature tiers (C,F,A,Blanc);Code trésorerie;N° relance;date valeur;Référence document;N° de séquence;Code section (axe anal.1);Code affaire (axe anal. 2);Code destination (axe anal. 2);Quantité analytique;Montant en devises;Code devise ISO;Taux de la devise;Mode de paiement;Bon à payer;Code banque affectation;Echéance escomptable;Zone texte libre;Ecriture modifiable (L,I,blanc);Date création;Heure création
E;71;;73;24/12/2025;CORALIE NOULETTE;;;;15,82;C;70852300;24/12/25;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;73;24/12/2025;CORALIE NOULETTE;;;;3,59;C;44570000;24/12/25;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;79;23/12/2025;ERIC RAJERISON;31/01/2026;;;31,21;D;41100000;23/12/25;;;T14965;;;;;;;;;;;;;;TD;;;;;;;
E;71;;79;23/12/2025;ERIC RAJERISON;31/01/2026;;;19,41;C;70700300;23/12/25;;;T14965;;;;;;;;;;;;;;TD;;;;;;;
E;71;;79;23/12/2025;ERIC RAJERISON;31/01/2026;;;6,60;C;70850300;23/12/25;;;T14965;;;;;;;;;;;;;;TD;;;;;;;
E;71;;79;23/12/2025;ERIC RAJERISON;31/01/2026;;;5,20;C;44570000;23/12/25;;;T14965;;;;;;;;;;;;;;TD;;;;;;;
E;71;;80;23/12/2025;ERIC RAJERISON;31/01/2026;;;46,75;D;41100000;23/12/25;;;T14965;;;;;;;;;;;;;;TD;;;;;;;
E;71;;80;23/12/2025;ERIC RAJERISON;31/01/2026;;;32,36;C;70700300;23/12/25;;;T14965;;;;;;;;;;;;;;TD;;;;;;;
E;71;;80;23/12/2025;ERIC RAJERISON;31/01/2026;;;6,60;C;70850300;23/12/25;;;T14965;;;;;;;;;;;;;;TD;;;;;;;
E;71;;80;23/12/2025;ERIC RAJERISON;31/01/2026;;;7,79;C;44570000;23/12/25;;;T14965;;;;;;;;;;;;;;TD;;;;;;;
E;71;;72;22/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;11,48;D;41100000;22/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;72;22/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;2,97;C;70700300;22/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;72;22/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;6,60;C;70850300;22/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;72;22/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;1,91;C;44570000;22/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;71;22/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;9,43;D;41100000;22/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;71;22/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;1,26;C;70700300;22/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;71;22/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;6,60;C;70850300;22/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;71;22/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;1,57;C;44570000;22/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;70;22/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;276,20;D;41100000;22/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;70;22/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;214,34;C;70700300;22/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;70;22/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;15,82;C;70850300;22/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;70;22/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;46,04;C;44570000;22/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;69;22/12/2025;CORALIE NOULETTE;;;;242,45;D;41100000;22/12/25;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;69;22/12/2025;CORALIE NOULETTE;;;;195,44;C;70700300;22/12/25;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;69;22/12/2025;CORALIE NOULETTE;;;;6,60;C;70850300;22/12/25;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;69;22/12/2025;CORALIE NOULETTE;;;;40,41;C;44570000;22/12/25;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;68;22/12/2025;CORALIE NOULETTE;;;;157,28;D;41100000;22/12/25;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;68;22/12/2025;CORALIE NOULETTE;;;;124,47;C;70700300;22/12/25;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;68;22/12/2025;CORALIE NOULETTE;;;;6,60;C;70850300;22/12/25;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;68;22/12/2025;CORALIE NOULETTE;;;;26,21;C;44570000;22/12/25;;;T14964;;;;;;;;;;;;;;VI;;;;;;;
E;71;;67;18/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;46,75;D;41100000;18/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;67;18/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;32,36;C;70700300;18/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;67;18/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;6,60;C;70850300;18/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;67;18/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;7,79;C;44570000;18/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;66;17/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;116,83;D;41100000;17/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;66;17/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;2,63;C;70792300;17/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;66;17/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;114,20;C;70852300;17/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;65;16/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;20,81;D;41100000;16/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;65;16/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;20,81;C;70792300;16/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;64;15/12/2025;ERIC RAJERISON;;;;71,82;D;41100000;15/12/25;;;T14965;;;;;;;;;;;;;;CB;;;;;;;
E;71;;64;15/12/2025;ERIC RAJERISON;;;;1,26;C;70792300;15/12/25;;;T14965;;;;;;;;;;;;;;CB;;;;;;;
E;71;;64;15/12/2025;ERIC RAJERISON;;;;70,56;C;70852300;15/12/25;;;T14965;;;;;;;;;;;;;;CB;;;;;;;
E;71;;63;15/12/2025;ERIC RAJERISON;;;;72,71;D;41100000;15/12/25;;;T14965;;;;;;;;;;;;;;CB;;;;;;;
E;71;;63;15/12/2025;ERIC RAJERISON;;;;2,15;C;70792300;15/12/25;;;T14965;;;;;;;;;;;;;;CB;;;;;;;
E;71;;62;11/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;1404,69;D;41100000;11/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;62;11/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;1154,76;C;70700300;11/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;62;11/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;15,82;C;70850300;11/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;62;11/12/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;234,11;C;44570000;11/12/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;61;28/11/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;205,80;D;41100000;28/11/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;61;28/11/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;164,90;C;70700300;28/11/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;61;28/11/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;6,60;C;70850300;28/11/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;61;28/11/2025;RAMAZAN SOYLU - RAMAZAN TEST;;;;34,30;C;44570000;28/11/25;;;T14963;;;;;;;;;;;;;;CB;;;;;;;
E;71;;56;26/11/2025;- - - A T 2 M M A;;;;32,06;D;41100000;26/11/25;;;T00001;;;;;;;;;;;;;;VI;;;;;;;
E;71;;56;26/11/2025;- - - A T 2 M M A;;;;20,12;C;70700300;26/11/25;;;T00001;;;;;;;;;;;;;;VI;;;;;;;
E;71;;56;26/11/2025;- - - A T 2 M M A;;;;6,60;C;70850300;26/11/25;;;T00001;;;;;;;;;;;;;;VI;;;;;;;
E;71;;56;26/11/2025;- - - A T 2 M M A;;;;5,34;C;44570000;26/11/25;;;T00001;;;;;;;;;;;;;;VI;;;;;;;
E;71;;50;18/11/2025;- - - ABMON;;;;150,58;D;41100000;18/11/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;50;18/11/2025;- - - ABMON;;;;65,46;C;70700300;18/11/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;50;18/11/2025;- - - ABMON;;;;85,12;C;70850300;18/11/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;49;18/11/2025;- - - ALLOUACHE;;;;1938,18;D;41100000;18/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;49;18/11/2025;- - - ALLOUACHE;;;;1608,55;C;70700300;18/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;49;18/11/2025;- - - ALLOUACHE;;;;6,60;C;70850300;18/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;49;18/11/2025;- - - ALLOUACHE;;;;323,03;C;44570000;18/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;48;18/11/2025;- - - ALLOUACHE;;;;2629,56;D;41100000;18/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;48;18/11/2025;- - - ALLOUACHE;;;;2184,70;C;70700300;18/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;48;18/11/2025;- - - ALLOUACHE;;;;6,60;C;70850300;18/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;48;18/11/2025;- - - ALLOUACHE;;;;438,26;C;44570000;18/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;47;18/11/2025;- - - ABMON;;;;66,83;D;41100000;18/11/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;47;18/11/2025;- - - ABMON;;;;49,09;C;70700300;18/11/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;47;18/11/2025;- - - ABMON;;;;6,60;C;70850300;18/11/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;47;18/11/2025;- - - ABMON;;;;11,14;C;44570000;18/11/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;46;18/11/2025;- - - ABMON;;;;88,71;D;41100000;18/11/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;46;18/11/2025;- - - ABMON;;;;23,09;C;70700300;18/11/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;46;18/11/2025;- - - ABMON;;;;65,62;C;70850300;18/11/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;45;17/11/2025;- - - ABMON;;;;11,48;D;41100000;17/11/25;;;T00002;;;;;;;;;;;;;;VI;;;;;;;
E;71;;45;17/11/2025;- - - ABMON;;;;2,97;C;70700300;17/11/25;;;T00002;;;;;;;;;;;;;;VI;;;;;;;
E;71;;45;17/11/2025;- - - ABMON;;;;6,60;C;70850300;17/11/25;;;T00002;;;;;;;;;;;;;;VI;;;;;;;
E;71;;45;17/11/2025;- - - ABMON;;;;1,91;C;44570000;17/11/25;;;T00002;;;;;;;;;;;;;;VI;;;;;;;
E;71;;44;17/11/2025;- - - ALLOUACHE;;;;60,46;D;41100000;17/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;44;17/11/2025;- - - ALLOUACHE;;;;3,74;C;70700300;17/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;44;17/11/2025;- - - ALLOUACHE;;;;56,72;C;70850300;17/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;43;17/11/2025;- - - ALLOUACHE;;;;51,50;D;41100000;17/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;43;17/11/2025;- - - ALLOUACHE;;;;27,10;C;70700300;17/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;43;17/11/2025;- - - ALLOUACHE;;;;15,82;C;70850300;17/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;43;17/11/2025;- - - ALLOUACHE;;;;8,58;C;44570000;17/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;42;17/11/2025;- - - ALLOUACHE;;;;66,83;D;41100000;17/11/25;;;T00004;;;;;;;;;;;;;;VI;;;;;;;
E;71;;42;17/11/2025;- - - ALLOUACHE;;;;49,09;C;70700300;17/11/25;;;T00004;;;;;;;;;;;;;;VI;;;;;;;
E;71;;42;17/11/2025;- - - ALLOUACHE;;;;6,60;C;70850300;17/11/25;;;T00004;;;;;;;;;;;;;;VI;;;;;;;
E;71;;42;17/11/2025;- - - ALLOUACHE;;;;11,14;C;44570000;17/11/25;;;T00004;;;;;;;;;;;;;;VI;;;;;;;
E;71;;41;14/11/2025;- - - ALLOUACHE;;;;60,36;D;41100000;14/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;41;14/11/2025;- - - ALLOUACHE;;;;43,70;C;70700300;14/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;41;14/11/2025;- - - ALLOUACHE;;;;6,60;C;70850300;14/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;41;14/11/2025;- - - ALLOUACHE;;;;10,06;C;44570000;14/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;40;14/11/2025;- - - ALLOUACHE;;;;64,68;D;41100000;14/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;40;14/11/2025;- - - ALLOUACHE;;;;47,30;C;70700300;14/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;40;14/11/2025;- - - ALLOUACHE;;;;6,60;C;70850300;14/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;40;14/11/2025;- - - ALLOUACHE;;;;10,78;C;44570000;14/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;39;14/11/2025;- - - ALLOUACHE;;;;66,83;D;41100000;14/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;39;14/11/2025;- - - ALLOUACHE;;;;49,09;C;70700300;14/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;39;14/11/2025;- - - ALLOUACHE;;;;6,60;C;70850300;14/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;39;14/11/2025;- - - ALLOUACHE;;;;11,14;C;44570000;14/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;38;06/11/2025;- - - ALLOUACHE;;;;86,13;D;41100000;06/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;38;06/11/2025;- - - ALLOUACHE;;;;63,62;C;70700300;06/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;38;06/11/2025;- - - ALLOUACHE;;;;8,16;C;70850300;06/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;38;06/11/2025;- - - ALLOUACHE;;;;14,35;C;44570000;06/11/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;37;27/10/2025;- - - ALLOUACHE;;;;86,13;D;41100000;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;37;27/10/2025;- - - ALLOUACHE;;;;63,62;C;70700300;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;37;27/10/2025;- - - ALLOUACHE;;;;8,16;C;70850300;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;37;27/10/2025;- - - ALLOUACHE;;;;14,35;C;44570000;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;36;27/10/2025;- - - ALLOUACHE;;;;30,12;D;41100000;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;36;27/10/2025;- - - ALLOUACHE;;;;16,94;C;70700300;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;36;27/10/2025;- - - ALLOUACHE;;;;8,16;C;70850300;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;36;27/10/2025;- - - ALLOUACHE;;;;5,02;C;44570000;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;35;27/10/2025;- - - ALLOUACHE;;;;373,54;D;41100000;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;35;27/10/2025;- - - ALLOUACHE;;;;304,68;C;70700300;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;35;27/10/2025;- - - ALLOUACHE;;;;6,60;C;70850300;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;35;27/10/2025;- - - ALLOUACHE;;;;62,26;C;44570000;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;34;27/10/2025;- - - ALLOUACHE;;;;9,60;D;41100000;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;34;27/10/2025;- - - ALLOUACHE;;;;1,40;C;70700300;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;34;27/10/2025;- - - ALLOUACHE;;;;6,60;C;70850300;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;34;27/10/2025;- - - ALLOUACHE;;;;1,60;C;44570000;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;33;27/10/2025;- - - ALLOUACHE;;;;178,39;D;41100000;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;33;27/10/2025;- - - ALLOUACHE;;;;142,06;C;70700300;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;33;27/10/2025;- - - ALLOUACHE;;;;6,60;C;70850300;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;33;27/10/2025;- - - ALLOUACHE;;;;29,73;C;44570000;27/10/25;;;T00004;;;;;;;;;;;;;;CB;;;;;;;
E;71;;32;27/10/2025;- - - ABMON;;;;521,00;D;41100000;27/10/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;32;27/10/2025;- - - ABMON;;;;490,90;C;70700300;27/10/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;32;27/10/2025;- - - ABMON;;;;30,10;C;70850300;27/10/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;31;27/10/2025;- - - ABMON;;;;150,38;D;41100000;27/10/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;31;27/10/2025;- - - ABMON;;;;49,09;C;70700300;27/10/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;31;27/10/2025;- - - ABMON;;;;101,29;C;70850300;27/10/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;29;27/10/2025;- - - ABMON;;;;210,76;D;41100000;27/10/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;29;27/10/2025;- - - ABMON;;;;98,18;C;70700300;27/10/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;29;27/10/2025;- - - ABMON;;;;112,58;C;70850300;27/10/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;28;27/10/2025;- - - ABMON;;;;119,06;D;41100000;27/10/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;28;27/10/2025;- - - ABMON;;;;43,88;C;70700300;27/10/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;28;27/10/2025;- - - ABMON;;;;75,18;C;70850300;27/10/25;;;T00002;;;;;;;;;;;;;;CB;;;;;;;
E;71;;30;24/10/2025;- - - ABMON;30/11/2025;;;198,34;D;41100000;24/10/25;;;T00002;;;;;;;;;;;;;;TD;;;;;;;
